question_id,question,difficulty,chunk_id,chapter,section,justification
Q08,"Como usar if, elif e else para tratar diferentes condições em um programa?",facil,chap05-c0463,5,Instruções if / A cláusula else / Condicionais encadeadas,Explica como a condição booleana do if controla se o bloco indentado será executado.
Q08,"Como usar if, elif e else para tratar diferentes condições em um programa?",facil,chap05-c0466,5,Instruções if / A cláusula else / Condicionais encadeadas,Introduz a cláusula else como a segunda parte possível de uma instrução if.
Q08,"Como usar if, elif e else para tratar diferentes condições em um programa?",facil,chap05-c0468,5,Instruções if / A cláusula else / Condicionais encadeadas,"Explica que, com if/else, uma ramificação é executada quando a condição é verdadeira e a outra quando é falsa."
Q08,"Como usar if, elif e else para tratar diferentes condições em um programa?",facil,chap05-c0469,5,Instruções if / A cláusula else / Condicionais encadeadas,Explica que elif é usado em condicionais encadeadas quando existem mais de duas possibilidades.
Q08,"Como usar if, elif e else para tratar diferentes condições em um programa?",facil,chap05-c0471,5,Instruções if / A cláusula else / Condicionais encadeadas,Explica a ordem de teste das cláusulas elif e que apenas a primeira ramificação verdadeira é executada; também situa else no final.
Q09,O que é recursão e como uma função pode chamar a si mesma?,facil,chap05-c0480,5,Recursão,Introduz recursão explicando que uma função pode chamar a si mesma.
Q09,O que é recursão e como uma função pode chamar a si mesma?,facil,chap05-c0482,5,Recursão,Explica o comportamento de uma função recursiva countdown e mostra a chamada a si mesma com um argumento reduzido.
Q09,O que é recursão e como uma função pode chamar a si mesma?,facil,chap05-c0484,5,Recursão,Descreve passo a passo várias chamadas sucessivas de countdown a si mesma.
Q09,O que é recursão e como uma função pode chamar a si mesma?,facil,chap05-c0485,5,Recursão,Define explicitamente uma função recursiva como uma função que chama a si mesma.
Q09,O que é recursão e como uma função pode chamar a si mesma?,facil,chap05-c0487,5,Recursão,"Explica outro exemplo recursivo, em que print_n_times chama a si mesma enquanto n é positivo."
Q09,O que é recursão e como uma função pode chamar a si mesma?,facil,chap05-c0517,5,Recursão,Apresenta no glossário a definição de recursão como o processo de chamar a função que está sendo executada.
Q10,Como uma função usa return para devolver um valor?,facil,chap06-c0566,6,Algumas funções devolvem valores,Define valor devolvido como o resultado produzido por uma chamada de função.
Q10,Como uma função usa return para devolver um valor?,facil,chap06-c0574,6,Algumas funções devolvem valores,Introduz um exemplo de função criada especificamente para devolver um valor.
Q10,Como uma função usa return para devolver um valor?,facil,chap06-c0576,6,Algumas funções devolvem valores,Explica diretamente que a instrução return devolve o valor calculado pela função.
Q10,Como uma função usa return para devolver um valor?,facil,chap06-c0578,6,Algumas funções devolvem valores,Mostra que o valor devolvido por uma função pode ser atribuído a uma variável.
Q10,Como uma função usa return para devolver um valor?,facil,chap06-c0580,6,Algumas funções devolvem valores,Mostra que o valor devolvido também pode ser usado diretamente como parte de uma expressão.
Q10,Como uma função usa return para devolver um valor?,facil,chap06-c0597,6,Algumas funções devolvem valores,"Contrasta uma função que devolve None com outra que possui um valor devolvido, ajudando a entender o papel de return."
Q11,Como usar um laço for para percorrer os caracteres de uma string?,media,chap07-c0732,7,Laços de repetição e strings,Explica que um laço for também pode ser usado para exibir e percorrer as letras de uma string.
Q11,Como usar um laço for para percorrer os caracteres de uma string?,media,chap07-c0734,7,Laços de repetição e strings,Explica que a variável definida no for é a variável de iteração e que ela recebe sucessivamente as letras da palavra.
Q11,Como usar um laço for para percorrer os caracteres de uma string?,media,chap07-c0740,7,Laços de repetição e strings,Mostra a generalização do laço para receber a palavra como parâmetro de uma função.
Q11,Como usar um laço for para percorrer os caracteres de uma string?,media,chap08-c0865,7,Laços de repetição e strings,"Explica que uma string é uma sequência de caracteres, fundamento que permite percorrê-la caractere por caractere."
Q12,Como ler um arquivo de palavras linha por linha e remover a quebra de linha de cada palavra?,media,chap07-c0748,7,Lendo a lista de palavras,Explica o uso de open para abrir o arquivo de palavras e obter um objeto arquivo.
Q12,Como ler um arquivo de palavras linha por linha e remover a quebra de linha de cada palavra?,media,chap07-c0750,7,Lendo a lista de palavras,Explica que readline lê caracteres do arquivo até uma nova linha e devolve o conteúdo como string.
Q12,Como ler um arquivo de palavras linha por linha e remover a quebra de linha de cada palavra?,media,chap07-c0752,7,Lendo a lista de palavras,Explica que readline é um método associado ao objeto arquivo e como ele é chamado.
Q12,Como ler um arquivo de palavras linha por linha e remover a quebra de linha de cada palavra?,media,chap07-c0754,7,Lendo a lista de palavras,Explica diretamente o uso de strip para remover a quebra de linha do final da palavra.
Q12,Como ler um arquivo de palavras linha por linha e remover a quebra de linha de cada palavra?,media,chap07-c0756,7,Lendo a lista de palavras,"Explica que strip remove espaços em branco, inclusive quebras de linha, e que o objeto arquivo pode ser percorrido com for para ler linha por linha."
Q13,Como atualizar uma variável dentro de um laço para contar ocorrências?,media,chap07-c0766,7,Atualizando variáveis,Define atualização como uma atribuição em que o novo valor de uma variável depende do valor anterior.
Q13,Como atualizar uma variável dentro de um laço para contar ocorrências?,media,chap07-c0769,7,Atualizando variáveis,"Explica a operação de atualização x = x + 1 como obter o valor atual, somar um e atribuir o resultado de volta."
Q13,Como atualizar uma variável dentro de um laço para contar ocorrências?,media,chap07-c0771,7,Atualizando variáveis,Explica que a variável deve ser inicializada antes de ser atualizada.
Q13,Como atualizar uma variável dentro de um laço para contar ocorrências?,media,chap07-c0773,7,Atualizando variáveis,Define incremento e apresenta formas concisas de atualizar uma variável.
Q13,Como atualizar uma variável dentro de um laço para contar ocorrências?,media,chap07-c0776,7,Atualizando variáveis,Introduz um programa que usa repetição para contar elementos.
Q13,Como atualizar uma variável dentro de um laço para contar ocorrências?,media,chap07-c0778,7,Atualizando variáveis,"Explica que o contador começa em zero e é incrementado em cada passagem do laço, resultando no total de ocorrências."
Q13,Como atualizar uma variável dentro de um laço para contar ocorrências?,media,chap07-c0780,7,Atualizando variáveis,Define contador como uma variável usada para contar quantas vezes algo acontece.
Q13,Como atualizar uma variável dentro de um laço para contar ocorrências?,media,chap10-c1267,7,Atualizando variáveis,Mostra outro caso de contagem de ocorrências em que um contador é incrementado quando uma letra aparece novamente.
Q14,Como acessar o último caractere de uma string usando um índice negativo?,media,chap08-c0879,8,Uma string é uma sequência,Introduz o problema de obter a última letra de uma string usando seu comprimento.
Q14,Como acessar o último caractere de uma string usando um índice negativo?,media,chap08-c0881,8,Uma string é uma sequência,Explica por que usar o comprimento diretamente causa IndexError e que o último índice positivo é n-1.
Q14,Como acessar o último caractere de uma string usando um índice negativo?,media,chap08-c0883,8,Uma string é uma sequência,Explica diretamente que um índice negativo conta para trás a partir do final da string.
Q14,Como acessar o último caractere de uma string usando um índice negativo?,media,chap08-c0885,8,Uma string é uma sequência,"Explica que -1 seleciona a última letra, -2 a penúltima e assim por diante."
Q15,Por que não é possível alterar diretamente um caractere de uma string em Python?,media,chap08-c0899,8,Strings são imutáveis,Introduz a tentativa de alterar diretamente um caractere de uma string e afirma que strings são imutáveis.
Q15,Por que não é possível alterar diretamente um caractere de uma string em Python?,media,chap08-c0901,8,Strings são imutáveis,Explica que a tentativa de atribuir um novo caractere em uma posição da string gera TypeError porque strings são imutáveis.
Q15,Por que não é possível alterar diretamente um caractere de uma string em Python?,media,chap08-c0903,8,Strings são imutáveis,"Mostra a alternativa de criar uma nova string por concatenação e fatiamento, sem modificar a string original."
Q16,Como append e extend alteram uma lista de maneiras diferentes?,media,chap09-c1081,9,Métodos de listas,Explica que append adiciona um único novo elemento ao final de uma lista.
Q16,Como append e extend alteram uma lista de maneiras diferentes?,media,chap09-c1083,9,Métodos de listas,Explica que extend recebe uma lista e acrescenta todos os elementos dessa lista à lista original.
Q17,Por que duas variáveis podem acabar se referindo ao mesmo objeto lista?,media,chap09-c1126,9,Listas,"Contrasta a referência compartilhada de strings com a criação de duas listas separadas, ajudando a distinguir identidade de valor."
Q17,Por que duas variáveis podem acabar se referindo ao mesmo objeto lista?,media,chap09-c1132,9,Listas,"Explica diretamente o aliasing: se b recebe a, as duas variáveis passam a se referir ao mesmo objeto."
Q17,Por que duas variáveis podem acabar se referindo ao mesmo objeto lista?,media,chap09-c1137,9,Listas,Define referência e explica que duas referências ao mesmo objeto produzem aliasing; alterações por um nome afetam o outro em objetos mutáveis.
Q17,Por que duas variáveis podem acabar se referindo ao mesmo objeto lista?,media,chap09-c1139,9,Listas,Explica que aliasing com objetos mutáveis pode causar efeitos inesperados e ser propenso a erros.
Q17,Por que duas variáveis podem acabar se referindo ao mesmo objeto lista?,media,chap09-c1148,9,Listas,Mostra um caso em que um parâmetro e uma variável do chamador são aliases do mesmo objeto lista.
Q17,Por que duas variáveis podem acabar se referindo ao mesmo objeto lista?,media,chap09-c1151,9,Listas,Explica que passar uma referência de lista a uma função cria aliasing e que modificações no objeto persistem após a função terminar.
Q18,Como um dicionário associa uma chave a um valor e como recuperar esse valor?,media,chap10-c1208,10,Um dicionário é um mapeamento,Introduz o dicionário como uma estrutura de mapeamento mais geral que uma lista.
Q18,Como um dicionário associa uma chave a um valor e como recuperar esse valor?,media,chap10-c1212,10,Um dicionário é um mapeamento,"Explica que um dicionário permite procurar uma palavra para obter o valor associado, algo que a lista do exemplo não permite diretamente."
Q18,Como um dicionário associa uma chave a um valor e como recuperar esse valor?,media,chap10-c1216,10,Um dicionário é um mapeamento,Explica que cada item do dicionário representa uma associação entre uma chave e um valor.
Q18,Como um dicionário associa uma chave a um valor e como recuperar esse valor?,media,chap10-c1220,10,Um dicionário é um mapeamento,"Explica diretamente que, para procurar uma chave e obter seu valor correspondente, usa-se o operador de colchetes."
Q18,Como um dicionário associa uma chave a um valor e como recuperar esse valor?,media,chap10-c1226,10,Um dicionário é um mapeamento,Define formalmente o dicionário como um mapeamento de chaves para valores.
Q19,Por que verificar a existência de uma chave em um dicionário pode ser muito mais rápido do que procurar um elemento em uma lista?,media,chap10-c1243,10,O operador in,Explica que dicionários usam tabela hash e que o operador in leva aproximadamente o mesmo tempo independentemente do número de itens.
Q19,Por que verificar a existência de uma chave em um dicionário pode ser muito mais rápido do que procurar um elemento em uma lista?,media,chap10-c1251,10,O operador in,Explica por que procurar com in em uma lista pode ser lento: os elementos são verificados um por um.
Q19,Por que verificar a existência de uma chave em um dicionário pode ser muito mais rápido do que procurar um elemento em uma lista?,media,chap10-c1256,10,O operador in,Explica que a busca pode ser acelerada criando um dicionário com as palavras como chaves.
Q19,Por que verificar a existência de uma chave em um dicionário pode ser muito mais rápido do que procurar um elemento em uma lista?,media,chap10-c1258,10,O operador in,Explica que o dicionário pode ser usado apenas para verificar rapidamente se uma chave existe.
Q19,Por que verificar a existência de uma chave em um dicionário pode ser muito mais rápido do que procurar um elemento em uma lista?,media,chap10-c1260,10,O operador in,"Apresenta o resultado prático da versão com dicionário, aproximadamente 10.000 vezes mais rápida no exemplo."
Q19,Por que verificar a existência de uma chave em um dicionário pode ser muito mais rápido do que procurar um elemento em uma lista?,media,chap10-c1261,10,O operador in,"Compara diretamente a complexidade: busca em lista cresce com o tamanho da lista, enquanto busca de chave em dicionário é quase constante."
Q20,Como a atribuição de tupla permite trocar os valores de duas variáveis sem usar uma variável temporária?,media,chap11-c1396,11,Atribuição de tupla,"Define atribuição de tupla, também chamada de atribuição simultânea, com variáveis à esquerda e valores à direita."
Q20,Como a atribuição de tupla permite trocar os valores de duas variáveis sem usar uma variável temporária?,media,chap11-c1406,11,Atribuição de tupla,"Explica que, com atribuições convencionais, trocar dois valores exige uma variável temporária."
Q20,Como a atribuição de tupla permite trocar os valores de duas variáveis sem usar uma variável temporária?,media,chap11-c1408,11,Atribuição de tupla,Explica diretamente que a atribuição de tupla permite realizar a troca sem variável temporária.
Q20,Como a atribuição de tupla permite trocar os valores de duas variáveis sem usar uma variável temporária?,media,chap11-c1410,11,Atribuição de tupla,Explica por que a troca funciona: todas as expressões do lado direito são avaliadas antes de qualquer atribuição.
Q21,"Se eu fornecer apenas o nome memo.txt, como o Python decide em qual diretório procurar o arquivo e como obtenho seu caminho completo?",dificil,chap13-c1749,13,Nomes de arquivos e caminhos,"Explica que todo programa tem um diretório de trabalho atual e que, ao abrir um arquivo, o Python o procura nesse diretório por padrão; também menciona getcwd."
Q21,"Se eu fornecer apenas o nome memo.txt, como o Python decide em qual diretório procurar o arquivo e como obtenho seu caminho completo?",dificil,chap13-c1752,13,Nomes de arquivos e caminhos,"Explica que memo.txt é um caminho relativo ao diretório atual, distingue caminho relativo de absoluto e informa que abspath obtém o caminho absoluto."
Q22,Por que modificar uma lista recuperada de uma prateleira não atualiza automaticamente o valor armazenado nela?,dificil,chap13-c1827,13,Armazenando estruturas de dados,"Explica que uma prateleira pode armazenar estruturas de dados como listas e dicionários, estabelecendo o contexto do problema."
Q22,Por que modificar uma lista recuperada de uma prateleira não atualiza automaticamente o valor armazenado nela?,dificil,chap13-c1835,13,Armazenando estruturas de dados,Mostra uma entrada da prateleira cujo valor é uma lista de strings.
Q22,Por que modificar uma lista recuperada de uma prateleira não atualiza automaticamente o valor armazenado nela?,dificil,chap13-c1837,13,Armazenando estruturas de dados,"Explica a intenção de acrescentar uma nova palavra à lista associada à mesma chave, como seria feito em um dicionário."
Q22,Por que modificar uma lista recuperada de uma prateleira não atualiza automaticamente o valor armazenado nela?,dificil,chap13-c1839,13,Armazenando estruturas de dados,"Mostra que, após modificar a lista recuperada, o valor armazenado na prateleira parece não ter sido atualizado."
Q22,Por que modificar uma lista recuperada de uma prateleira não atualiza automaticamente o valor armazenado nela?,dificil,chap13-c1841,13,Armazenando estruturas de dados,"Explica diretamente o motivo: modificar a lista recuperada não altera a prateleira; é necessário ler o valor, atualizá-lo e gravá-lo novamente."
Q22,Por que modificar uma lista recuperada de uma prateleira não atualiza automaticamente o valor armazenado nela?,dificil,chap13-c1843,13,Armazenando estruturas de dados,"Confirma que, depois de escrever a lista atualizada de volta, o valor armazenado na prateleira é atualizado."
Q23,"Como criar um tipo próprio para representar uma hora do dia e armazenar hora, minuto e segundo dentro de cada objeto?",dificil,chap14-c1912,14,Tipos definidos pelo programador / Atributos,Introduz a criação de um tipo definido pelo programador chamado Time para representar uma hora do dia e explica que esse tipo é uma classe.
Q23,"Como criar um tipo próprio para representar uma hora do dia e armazenar hora, minuto e segundo dentro de cada objeto?",dificil,chap14-c1914,14,Tipos definidos pelo programador / Atributos,Explica que definir a classe cria um objeto classe e que chamar Time cria um novo objeto dessa classe.
Q23,"Como criar um tipo próprio para representar uma hora do dia e armazenar hora, minuto e segundo dentro de cada objeto?",dificil,chap14-c1920,14,Tipos definidos pelo programador / Atributos,Define a criação de um objeto como instanciação e o objeto criado como instância da classe.
Q23,"Como criar um tipo próprio para representar uma hora do dia e armazenar hora, minuto e segundo dentro de cada objeto?",dificil,chap14-c1921,14,Tipos definidos pelo programador / Atributos,Explica que objetos podem conter variáveis chamadas atributos e que elas são criadas com notação de ponto.
Q23,"Como criar um tipo próprio para representar uma hora do dia e armazenar hora, minuto e segundo dentro de cada objeto?",dificil,chap14-c1923,14,Tipos definidos pelo programador / Atributos,"Explica que os atributos hour, minute e second armazenam hora, minuto e segundo dentro do objeto Time."
Q23,"Como criar um tipo próprio para representar uma hora do dia e armazenar hora, minuto e segundo dentro de cada objeto?",dificil,chap14-c1926,14,Tipos definidos pelo programador / Atributos,"Explica que a variável se refere a um objeto Time contendo três atributos, cada um associado a um inteiro."
Q24,"Quando uma função recebe um objeto Time e altera seus atributos, por que o objeto original também é modificado?",dificil,chap14-c1944,14,Objetos são mutáveis,Explica que os atributos de um objeto Time podem ser modificados diretamente.
Q24,"Quando uma função recebe um objeto Time e altera seus atributos, por que o objeto original também é modificado?",dificil,chap14-c1946,14,Objetos são mutáveis,Introduz a ideia de encapsular a modificação dos atributos em uma função que recebe o objeto Time.
Q24,"Quando uma função recebe um objeto Time e altera seus atributos, por que o objeto original também é modificado?",dificil,chap14-c1948,14,Objetos são mutáveis,Apresenta um exemplo que demonstra o efeito da função que modifica o objeto Time recebido.
Q24,"Quando uma função recebe um objeto Time e altera seus atributos, por que o objeto original também é modificado?",dificil,chap14-c1953,14,Objetos são mutáveis,"Explica diretamente que, dentro da função, o parâmetro time é um alias para start; por isso, modificar time também modifica start."
Q24,"Quando uma função recebe um objeto Time e altera seus atributos, por que o objeto original também é modificado?",dificil,chap14-c1967,14,Objetos são mutáveis,Apresenta a alternativa de usar copy para criar uma função pura que não modifica o objeto recebido como parâmetro.
Q25,Por que start.print_time() consegue usar start dentro do método mesmo sem ele aparecer explicitamente entre os argumentos da chamada?,dificil,chap15-c2059,15,Definindo métodos,Explica a transformação de print_time em método e a troca do nome do primeiro parâmetro para self.
Q25,Por que start.print_time() consegue usar start dentro do método mesmo sem ele aparecer explicitamente entre os argumentos da chamada?,dificil,chap15-c2061,15,Definindo métodos,Explica que um objeto Time precisa ser fornecido ao método como argumento quando se usa a forma de chamada pela classe.
Q25,Por que start.print_time() consegue usar start dentro do método mesmo sem ele aparecer explicitamente entre os argumentos da chamada?,dificil,chap15-c2065,15,Definindo métodos,Introduz as duas formas de chamar print_time: pela classe e pela sintaxe de método.
Q25,Por que start.print_time() consegue usar start dentro do método mesmo sem ele aparecer explicitamente entre os argumentos da chamada?,dificil,chap15-c2067,15,Definindo métodos,"Explica que, na chamada Time.print_time(start), o objeto start é passado explicitamente como parâmetro."
Q25,Por que start.print_time() consegue usar start dentro do método mesmo sem ele aparecer explicitamente entre os argumentos da chamada?,dificil,chap15-c2069,15,Definindo métodos,"Explica que, na chamada start.print_time(), start é o receptor e é passado implicitamente como o primeiro argumento, correspondente a self."
Q26,O que precisa ser definido em Time para que dois objetos possam ser somados usando diretamente o operador +?,dificil,chap15-c2118,15,Sobrecarga de operador,Explica que definir o método especial __add__ para a classe Time permite especificar o comportamento do operador +.
Q26,O que precisa ser definido em Time para que dois objetos possam ser somados usando diretamente o operador +?,dificil,chap15-c2120,15,Sobrecarga de operador,Introduz o uso prático do operador + após a definição de __add__.
Q26,O que precisa ser definido em Time para que dois objetos possam ser somados usando diretamente o operador +?,dificil,chap15-c2122,15,Sobrecarga de operador,"Explica que, ao usar + com um objeto Time, o Python invoca automaticamente o método __add__."
Q27,Por que copiar um Rectangle pode fazer o original e a cópia continuarem compartilhando o mesmo objeto Point?,dificil,chap16-c2217,16,Cópia profunda,"Explica que copy duplica o objeto Rectangle, mas não copia o objeto Point contido nele, produzindo dois retângulos distintos com conteúdo interno compartilhado."
Q27,Por que copiar um Rectangle pode fazer o original e a cópia continuarem compartilhando o mesmo objeto Point?,dificil,chap16-c2219,16,Cópia profunda,Afirma diretamente que os atributos corner dos dois retângulos se referem ao mesmo objeto Point.
Q27,Por que copiar um Rectangle pode fazer o original e a cópia continuarem compartilhando o mesmo objeto Point?,dificil,chap16-c2224,16,Cópia profunda,Define esse comportamento como cópia rasa e explica que mudanças no Point compartilhado afetam ambos os retângulos.
Q27,Por que copiar um Rectangle pode fazer o original e a cópia continuarem compartilhando o mesmo objeto Point?,dificil,chap16-c2226,16,Cópia profunda,Introduz a solução por cópia profunda.
Q27,Por que copiar um Rectangle pode fazer o original e a cópia continuarem compartilhando o mesmo objeto Point?,dificil,chap16-c2228,16,Cópia profunda,"Explica que, após deepcopy, os dois Rectangle passam a se referir a objetos Point diferentes."
Q27,Por que copiar um Rectangle pode fazer o original e a cópia continuarem compartilhando o mesmo objeto Point?,dificil,chap16-c2230,16,Cópia profunda,"Explica que, por estarem completamente separados após a cópia profunda, um objeto pode ser modificado sem afetar o outro."
Q27,Por que copiar um Rectangle pode fazer o original e a cópia continuarem compartilhando o mesmo objeto Point?,dificil,chap16-c2239,16,Cópia profunda,Retoma o bug causado pelo Point compartilhado entre dois Rectangle e explica que esse compartilhamento pode gerar problemas.
Q28,Como dois objetos diferentes podem representar o mesmo ponto sem serem o mesmo objeto na memória?,dificil,chap16-c2177,16,Equivalência e identidade,Introduz dois objetos Point diferentes criados com as mesmas coordenadas.
Q28,Como dois objetos diferentes podem representar o mesmo ponto sem serem o mesmo objeto na memória?,dificil,chap16-c2179,16,Equivalência e identidade,Explica que o comportamento padrão de comparação para tipos definidos pelo programador verifica se são o mesmo objeto.
Q28,Como dois objetos diferentes podem representar o mesmo ponto sem serem o mesmo objeto na memória?,dificil,chap16-c2181,16,Equivalência e identidade,Explica que __eq__ pode ser definido para estabelecer uma noção de igualdade baseada no conteúdo dos objetos.
Q28,Como dois objetos diferentes podem representar o mesmo ponto sem serem o mesmo objeto na memória?,dificil,chap16-c2183,16,Equivalência e identidade,Explica que dois Points com atributos iguais podem ser considerados equivalentes após a definição de __eq__.
Q28,Como dois objetos diferentes podem representar o mesmo ponto sem serem o mesmo objeto na memória?,dificil,chap16-c2185,16,Equivalência e identidade,"Explica que o operador is ainda mostra que os dois pontos são objetos diferentes, mesmo quando são equivalentes."
Q28,Como dois objetos diferentes podem representar o mesmo ponto sem serem o mesmo objeto na memória?,dificil,chap16-c2187,16,Equivalência e identidade,"Distingue diretamente identidade de equivalência: is sempre testa identidade, enquanto == pode ser redefinido para testar equivalência."
Q29,"Como criar uma classe mais específica que reutiliza atributos e métodos de outra classe, mas acrescenta comportamento próprio?",dificil,chap17-c2399,17,Herança / Especialização,Define herança como a capacidade de criar uma nova classe como versão modificada de uma classe existente.
Q29,"Como criar uma classe mais específica que reutiliza atributos e métodos de outra classe, mas acrescenta comportamento próprio?",dificil,chap17-c2401,17,Herança / Especialização,Explica que a classe filha herda métodos da classe mãe e pode sobrescrever métodos como __init__.
Q29,"Como criar uma classe mais específica que reutiliza atributos e métodos de outra classe, mas acrescenta comportamento próprio?",dificil,chap17-c2410,17,Herança / Especialização,Define os termos classe mãe e classe filha e explica que a filha pode manter atributos da mãe e acrescentar atributos próprios.
Q29,"Como criar uma classe mais específica que reutiliza atributos e métodos de outra classe, mas acrescenta comportamento próprio?",dificil,chap17-c2411,17,Herança / Especialização,Introduz uma classe mais específica criada por herança e a adição de um novo método próprio.
